citation_courte,id,nom,prenom,photo_url,contexte_complet,date,source,
Avec un grand pouvoir vient une grande électricité à payer.,,Parr,Bob,https://commons.wikimedia.org/wiki/File:Incredibles_icon.svg,Bob Parr plaisante sur les difficultés quotidiennes des super-héros à la retraite : Avec un grand pouvoir vient une grande électricité à payer. Il fait référence aux coûts de leurs pouvoirs.,2004,Les Indestructibles,
"Le meilleur moment pour planter un arbre, c'était il y a vingt ans. Le deuxième meilleur moment, c'est maintenant.",,,Maître Oogway,https://commons.wikimedia.org/wiki/File:Kung_Fu_Panda_icon.svg,"Maître Oogway partage sa sagesse avec Shifu : Le meilleur moment pour planter un arbre, c'était il y a vingt ans. Le deuxième meilleur moment, c'est maintenant. Il encourage ainsi l'action immédiate.",2008,Kung Fu Panda,
"Hier est derrière nous, demain est un mystère, mais aujourd'hui est un cadeau. C'est pour cela qu'on l'appelle le présent.",,,Maître Oogway,https://commons.wikimedia.org/wiki/File:Kung_Fu_Panda_icon.svg,"Maître Oogway enseigne à Po l'importance du moment présent : Hier est derrière nous, demain est un mystère, mais aujourd'hui est un cadeau. C'est pour cela qu'on l'appelle le présent.",2008,Kung Fu Panda,
"Dans ce monde, il y a deux types de personnes : ceux qui ont un pistolet chargé, et ceux qui creusent.",,,Blondin,https://commons.wikimedia.org/wiki/File:Western_icon.svg,"Le Bon, tenant Tuco en joue, déclare avec cynisme : Dans ce monde, il y a deux types de personnes, mon ami : ceux qui ont un pistolet chargé, et ceux qui creusent. Toi, tu creuses.",1966,Le Bon, la Brute et le Truand
"La peur est le chemin vers le côté obscur. La peur mène à la colère, la colère mène à la haine, la haine mène à la souffrance.",,,Yoda,https://commons.wikimedia.org/wiki/File:Jedi_symbol.svg,"Maître Yoda met en garde le jeune Anakin Skywalker : La peur est le chemin vers le côté obscur. La peur mène à la colère, la colère mène à la haine, la haine mène à la souffrance. Il décrit ainsi la descente vers le mal.",1999,Star Wars : La Menace Fantôme,
Pourquoi tombons-nous ? Pour apprendre à nous relever.,,Wayne,Thomas,https://commons.wikimedia.org/wiki/File:Batman_icon.svg,"Thomas Wayne enseigne à son fils Bruce après une chute : Pourquoi tombons-nous, Bruce ? Pour apprendre à nous relever. Cette leçon guidera Batman toute sa vie.",2005,Batman Begins,
"Ce qui compte, ce n'est pas ce que tu es, mais ce que tu fais qui te définit.",,,Batman,https://commons.wikimedia.org/wiki/File:Batman_icon.svg,"Batman répond à Rachel qui veut connaître sa véritable identité : Ce n'est pas ce que je suis au fond de moi, mais ce que je fais qui me définit. Il affirme ainsi que les actes importent plus que l'identité.",2005,Batman Begins,
L'hiver vient.,,Stark,Ned,https://commons.wikimedia.org/wiki/File:Game_of_Thrones_icon.svg,La devise de la Maison Stark rappelle constamment la nécessité de se préparer : L'hiver vient. Ned Stark répète cet avertissement comme un appel à la vigilance face aux dangers à venir.,2011,Game of Thrones (série),
Un roi qui doit dire je suis le roi n'est pas un vrai roi.,,Lannister,Tywin,https://commons.wikimedia.org/wiki/File:Game_of_Thrones_icon.svg,Tywin Lannister enseigne à son petit-fils Joffrey les bases du pouvoir : Un roi qui doit dire je suis le roi n'est pas un vrai roi. Le véritable pouvoir ne nécessite pas de le proclamer.,2013,Game of Thrones (série),
"Quand les riches font la guerre, ce sont les pauvres qui meurent.",,Sartre,Jean-Paul,https://commons.wikimedia.org/wiki/File:Jean-Paul_Sartre.jpg,"Cette citation philosophique de Sartre a été reprise dans de nombreux films de guerre : Quand les riches font la guerre, ce sont les pauvres qui meurent. Elle dénonce l'injustice des conflits armés.",1952,Le Diable et le Bon Dieu (repris dans nombreux films),
Je suis sérieux. Et ne m'appelez pas Shirley.,,Nielsen,Leslie,https://commons.wikimedia.org/wiki/File:Airplane_icon.svg,Le Dr. Rumack répond à Ted Striker qui lui demande s'il est sérieux : Je suis sérieux. Et ne m'appelez pas Shirley. Jeu de mots sur surely/Shirley devenu culte.,1980,Y a-t-il un pilote dans l'avion ?,
Nous acceptons la réalité du monde qui nous est présentée.,,,Christof,https://commons.wikimedia.org/wiki/File:Truman_Show_icon.svg,Le créateur de l'émission Christof explique pourquoi Truman n'a jamais quitté son monde artificiel : Nous acceptons la réalité du monde qui nous est présentée. C'est aussi simple que ça.,1998,The Truman Show,
"La liberté, c'est l'esclavage. L'ignorance, c'est la force.",,Orwell,George,https://commons.wikimedia.org/wiki/File:1984_icon.svg,"Les slogans du Parti dans 1984 illustrent la manipulation totalitaire : La guerre, c'est la paix. La liberté, c'est l'esclavage. L'ignorance, c'est la force. Adaptés dans le film.",1984,1984 (film d'après le roman d'Orwell),
Vous voulez la vérité ? Vous ne pouvez pas supporter la vérité !,,Jessep,Colonel,https://commons.wikimedia.org/wiki/File:Court_icon.svg,Le Colonel Jessep explose face aux questions de l'avocat : Vous voulez la vérité ? Vous ne pouvez pas supporter la vérité ! Il révèle ainsi le fossé entre idéaux et réalité militaire.,1992,Des hommes d'honneur,
Je vois des morts.,,Sear,Cole,https://commons.wikimedia.org/wiki/File:Sixth_Sense_icon.svg,Le jeune Cole révèle son terrible secret au Dr. Crowe : Je vois des morts. Des gens morts qui marchent comme s'ils étaient vivants. Ils ne savent pas qu'ils sont morts.,1999,Sixième Sens,
"Houston, nous avons un problème.",,Lovell,Jim,https://commons.wikimedia.org/wiki/File:Apollo_13_icon.svg,"L'astronaute Jim Lovell communique calmement avec le centre de contrôle lors d'une crise majeure : Houston, nous avons un problème. Cette phrase est devenue synonyme d'euphémisme face au danger.",1995,Apollo 13,
Carpe diem. Profitez du jour présent.,,Keating,John,https://commons.wikimedia.org/wiki/File:Dead_Poets_Society_icon.svg,Le professeur Keating inspire ses élèves avec cette maxime latine : Carpe diem. Profitez du jour présent. Cueillez les roses de la vie dès aujourd'hui. Il les encourage à vivre pleinement.,1989,Le Cercle des poètes disparus,
Vous avez le droit de garder le silence.,,Callahan,Harry,https://commons.wikimedia.org/wiki/File:Police_badge_icon.svg,"L'inspecteur Harry Callahan récite les droits Miranda à un suspect, mais sa version est toujours teintée de menace : Vous avez le droit de garder le silence. Tout ce que vous direz pourra être retenu contre vous.",1971,L'Inspecteur Harry,
La vérité est ailleurs.,,Mulder,Fox,https://commons.wikimedia.org/wiki/File:X-Files_icon.svg,La devise de Fox Mulder dans sa quête de vérité sur les phénomènes paranormaux : La vérité est ailleurs. Il refuse d'accepter les explications officielles et cherche toujours plus loin.,1993,X-Files (série),
Je suis votre père.,,Vader,Dark,https://commons.wikimedia.org/wiki/File:Darth_Vader_icon.svg,"Dark Vador révèle à Luke Skywalker la vérité sur son identité : Non, je suis ton père. Cette révélation bouleverse l'univers Star Wars et devient l'un des twists les plus célèbres du cinéma.",1980,Star Wars : L'Empire contre-attaque,
Qu'il en soit ainsi.,,,Ramses,https://commons.wikimedia.org/wiki/File:Egypt_icon.svg,Ramsès II prononce cette phrase autoritaire à plusieurs reprises pour imposer sa volonté divine : Qu'il en soit ainsi. Elle symbolise le pouvoir absolu du pharaon.,1956,Les Dix Commandements,
Je reviendrai.,,,Terminator,https://commons.wikimedia.org/wiki/File:Terminator_icon.svg,Le Terminator T-800 prononce cette promesse menaçante puis rassurante selon les films : Je reviendrai. Cette phrase est devenue l'une des plus parodiées du cinéma.,1984,Terminator,
"Nous sommes tous dans le caniveau, mais certains regardent les étoiles.",,Wilde,Oscar,https://commons.wikimedia.org/wiki/File:Oscar_Wilde_icon.svg,"Cette citation d'Oscar Wilde reprise dans plusieurs films illustre l'espoir malgré l'adversité : Nous sommes tous dans le caniveau, mais certains d'entre nous regardent les étoiles.",Œuvre littéraire,L'Éventail de Lady Windermere (repris au cinéma),
"L'État, c'est moi.",,XIV,Louis,https://commons.wikimedia.org/wiki/File:Louis_XIV_icon.svg,"Phrase attribuée à Louis XIV dans de nombreux films historiques pour illustrer l'absolutisme : L'État, c'est moi. Elle symbolise la concentration ultime du pouvoir.",Films historiques,Citation historique reprise dans nombreux films,
"Gardez vos amis près de vous, et vos ennemis encore plus près.",,Corleone,Michael,https://commons.wikimedia.org/wiki/File:The_Godfather_logo.svg,"Michael Corleone partage cette stratégie politique avec son entourage : Gardez vos amis près de vous, et vos ennemis encore plus près. Un conseil devenu principe de gouvernance.",1974,Le Parrain 2,
"Un homme peut être détruit, mais pas vaincu.",,,Santiago,https://commons.wikimedia.org/wiki/File:Old_man_sea_icon.svg,"Le vieux pêcheur Santiago exprime sa philosophie face à l'adversité : Un homme peut être détruit, mais pas vaincu. Cette citation d'Hemingway résume la résilience humaine.",1958,Le Vieil Homme et la Mer,
"Tous les animaux sont égaux, mais certains sont plus égaux que d'autres.",,Orwell,George,https://commons.wikimedia.org/wiki/File:Animal_Farm_icon.svg,"Le slogan final de la Ferme des Animaux révèle la corruption du système : Tous les animaux sont égaux, mais certains animaux sont plus égaux que d'autres. Satire politique devenue universelle.",1954,La Ferme des animaux (film d'animation),
"Le pouvoir corrompt, le pouvoir absolu corrompt absolument.",,Acton,Lord,https://commons.wikimedia.org/wiki/File:Power_icon.svg,"Cette maxime de Lord Acton reprise dans d'innombrables films politiques : Le pouvoir tend à corrompre, le pouvoir absolu corrompt absolument. Avertissement contre la concentration du pouvoir.",Citation historique,Repris dans nombreux films politiques,
Diviser pour mieux régner.,,César,Jules,https://commons.wikimedia.org/wiki/File:Roman_icon.svg,Principe stratégique attribué à Jules César et repris dans tous les films sur Rome : Diviser pour mieux régner. Tactique politique devenue universelle.,Films historiques,Citation latine reprise au cinéma,
"Si tu veux la paix, prépare la guerre.",,,Végèce,https://commons.wikimedia.org/wiki/File:Military_icon.svg,"Maxime militaire romaine répétée dans de nombreux films de guerre : Si tu veux la paix, prépare la guerre. Elle justifie le maintien d'une force armée dissuasive.",Films de guerre,Citation latine reprise au cinéma,
Le silence des agneaux.,,Lecter,Hannibal,https://commons.wikimedia.org/wiki/File:Hannibal_icon.svg,"Hannibal Lecter interroge Clarice sur ses cauchemars : Les agneaux se sont-ils tus, Clarice ? Cette métaphore hante l'agent du FBI et symbolise l'innocence perdue.",1991,Le Silence des agneaux,
Personne ne met bébé dans un coin.,,Castle,Johnny,https://commons.wikimedia.org/wiki/File:Dirty_Dancing_icon.svg,Johnny Castle défend Baby face à son père méprisant : Personne ne met bébé dans un coin. Il affirme ainsi sa protection et son respect pour elle.,1987,Dirty Dancing,
Vous me faites perdre mon temps.,,Lannister,Cersei,https://commons.wikimedia.org/wiki/File:Game_of_Thrones_icon.svg,Cersei Lannister coupe court aux discussions inutiles avec mépris : Vous me faites perdre mon temps. Son impatience reflète son sentiment de supériorité.,2011,Game of Thrones (série),
"Quand vous jouez au jeu des trônes, vous gagnez ou vous mourez. Il n'y a pas de juste milieu.",,Lannister,Cersei,https://commons.wikimedia.org/wiki/File:Game_of_Thrones_icon.svg,"Cersei Lannister explique les règles impitoyables du pouvoir à Ned Stark : Quand vous jouez au jeu des trônes, vous gagnez ou vous mourez. Il n'y a pas de juste milieu.",2011,Game of Thrones (série),
Un Lannister paie toujours ses dettes.,,Lannister,Tyrion,https://commons.wikimedia.org/wiki/File:Game_of_Thrones_icon.svg,"La devise non officielle de la Maison Lannister, répétée par Tyrion : Un Lannister paie toujours ses dettes. Elle symbolise autant l'honneur que la vengeance.",2011,Game of Thrones (série),
Je bois et je sais des choses.,,Lannister,Tyrion,https://commons.wikimedia.org/wiki/File:Game_of_Thrones_icon.svg,Tyrion Lannister résume avec ironie ses compétences : Je bois et je sais des choses. Derrière l'humour se cache la sagesse d'un conseiller politique avisé.,2013,Game of Thrones (série),
Le Nord se souvient.,,Stark,Arya,https://commons.wikimedia.org/wiki/File:Game_of_Thrones_icon.svg,Les Stark rappellent que les trahisons ne sont jamais oubliées : Le Nord se souvient. Cette phrase annonce la vengeance à venir pour les crimes commis contre leur famille.,2011,Game of Thrones (série),
Dracarys.,,,Daenerys,https://commons.wikimedia.org/wiki/File:Game_of_Thrones_icon.svg,Daenerys Targaryen ordonne à ses dragons de cracher le feu : Dracarys ! Ce mot en haut valyrien est devenu synonyme de pouvoir destructeur et de justice radicale.,2013,Game of Thrones (série),
Valar Morghulis. Tous les hommes doivent mourir.,,,Jaqen,https://commons.wikimedia.org/wiki/File:Game_of_Thrones_icon.svg,Le salut des Sans-Visage rappelle la mortalité universelle : Valar Morghulis. Tous les hommes doivent mourir. La réponse est Valar Dohaeris : Tous les hommes doivent servir.,2012,Game of Thrones (série),
Avec de grands pouvoirs viennent de grandes factures.,,Stark,Tony,https://commons.wikimedia.org/wiki/File:Iron_Man_icon.svg,Tony Stark fait de l'humour sur les coûts de ses inventions : Avec de grands pouvoirs viennent de grandes factures. Parodie de la phrase culte de Spider-Man.,2008,Iron Man,
Je suis Iron Man.,,Stark,Tony,https://commons.wikimedia.org/wiki/File:Iron_Man_icon.svg,Tony Stark brise la tradition du super-héros anonyme en révélant son identité : Je suis Iron Man. Cette transparence choque le monde et change les règles du jeu.,2008,Iron Man,
Nous sommes Groot.,,,Groot,https://commons.wikimedia.org/wiki/File:Groot_icon.svg,Groot sacrifie sa vie pour sauver ses amis en murmurant : Nous sommes Groot. Ces simples mots expriment l'unité et l'amour qu'il porte à son équipe.,2014,Les Gardiens de la Galaxie,
On avance toujours.,,,Dory,https://commons.wikimedia.org/wiki/File:Finding_Nemo_icon.svg,"Dory chante sa philosophie de vie optimiste : On avance toujours, on avance toujours. Que faisons-nous ? On avance. Ce mantra simple l'aide à surmonter tous les obstacles.",2003,Le Monde de Nemo,
"La seule chose dont nous devons avoir peur, c'est de la peur elle-même.",,Roosevelt,Franklin,https://commons.wikimedia.org/wiki/File:FDR_icon.svg,"Discours inaugural de FDR repris dans de nombreux films historiques : La seule chose dont nous devons avoir peur, c'est de la peur elle-même. Message d'espoir en temps de crise.",Films historiques,Discours de 1933 repris au cinéma,
Un peuple prêt à sacrifier un peu de liberté pour un peu de sécurité ne mérite ni l'une ni l'autre.,,Franklin,Benjamin,https://commons.wikimedia.org/wiki/File:Benjamin_Franklin_icon.svg,Citation de Benjamin Franklin reprise dans films sur liberté civile : Ceux qui renoncent à la liberté essentielle pour acheter un peu de sécurité temporaire ne méritent ni la liberté ni la sécurité.,Films politiques,Citation historique reprise au cinéma,
"Je pense, donc je suis.",,Descartes,René,https://commons.wikimedia.org/wiki/File:Descartes_icon.svg,"La phrase philosophique fondamentale de Descartes, citée dans Matrix et autres films : Je pense, donc je suis. Elle questionne la nature de l'existence et de la conscience.",Films philosophiques,Citation philosophique reprise au cinéma,
"Être ou ne pas être, telle est la question.",,Shakespeare,William,https://commons.wikimedia.org/wiki/File:Shakespeare_icon.svg,"Le monologue d'Hamlet, citation la plus célèbre de Shakespeare : Être ou ne pas être, telle est la question. Questionnement existentiel sur la vie et la mort.",Nombreuses adaptations,Hamlet - Repris dans de nombreux films,
Il faut imaginer Sisyphe heureux.,,Camus,Albert,https://commons.wikimedia.org/wiki/File:Camus_icon.svg,"La conclusion philosophique de Camus sur l'absurde, citée dans plusieurs films : Il faut imaginer Sisyphe heureux. L'acceptation du destin malgré son absurdité.",Films philosophiques,Le Mythe de Sisyphe - Repris au cinéma,
"L'enfer, c'est les autres.",,Sartre,Jean-Paul,https://commons.wikimedia.org/wiki/File:Jean-Paul_Sartre.jpg,"Citation existentialiste de Sartre maintes fois reprise : L'enfer, c'est les autres. Elle exprime comment le regard d'autrui peut nous emprisonner.",Films philosophiques,Huis Clos - Repris dans nombreux films,
"Je ne suis pas un numéro, je suis un homme libre !",,McGoohan,Patrick,https://commons.wikimedia.org/wiki/File:Prisoner_icon.svg,"Le Prisonnier proteste contre sa déshumanisation : Je ne suis pas un numéro, je suis un homme libre ! Cri de révolte contre le système totalitaire.",1967,Le Prisonnier (série),
Que le meilleur gagne.,,Snow,Coriolanus,https://commons.wikimedia.org/wiki/File:Hunger_Games_icon.svg,"Avant les Hunger Games, le Président Snow souhaite ironiquement : Que le meilleur gagne. Cette formule masque la cruauté d'un système qui sacrifie des enfants.",2012,Hunger Games,
"Si nous nous accrochons les uns aux autres, nous ne tombons pas.",,Everdeen,Katniss,https://commons.wikimedia.org/wiki/File:Hunger_Games_icon.svg,"Katniss Everdeen exprime la force de la solidarité face à l'oppression : Si nous nous accrochons les uns aux autres, nous ne tombons pas. Message d'unité révolutionnaire.",2013,Hunger Games : L'Embrasement,
Le feu va te suivre.,,Snow,Coriolanus,https://commons.wikimedia.org/wiki/File:Hunger_Games_icon.svg,Le Président Snow menace Katniss Everdeen : Le feu va te suivre. Il prédit que la rébellion qu'elle incarne consumera tout sur son passage.,2013,Hunger Games : L'Embrasement,
"Souviens-toi, souviens-toi du 5 novembre.",,,V,https://commons.wikimedia.org/wiki/File:V_vendetta_mask.svg,"V cite le poème sur Guy Fawkes : Souviens-toi, souviens-toi du 5 novembre, de la conspiration de la poudre et de la trahison. Appel à la mémoire historique de la résistance.",2005,V pour Vendetta,
"Sous ce masque, il y a plus que de la chair. Il y a une idée. Et les idées sont à l'épreuve des balles.",,,V,https://commons.wikimedia.org/wiki/File:V_vendetta_mask.svg,"V explique la puissance du symbole : Sous ce masque, il y a plus que de la chair. Il y a une idée, Mr. Creedy. Et les idées sont à l'épreuve des balles.",2005,V pour Vendetta,
"Les artistes utilisent des mensonges pour dire la vérité, tandis que les politiciens utilisent des mensonges pour dissimuler la vérité.",,,V,https://commons.wikimedia.org/wiki/File:V_vendetta_mask.svg,"V distingue l'art de la politique : Les artistes utilisent des mensonges pour dire la vérité, tandis que les politiciens utilisent des mensonges pour dissimuler la vérité.",2005,V pour Vendetta,
"La justice sans force est impuissante, la force sans justice est tyrannique.",,Pascal,Blaise,https://commons.wikimedia.org/wiki/File:Blaise_Pascal_icon.svg,"Citation de Pascal reprise dans films juridiques : La justice sans force est impuissante, la force sans justice est tyrannique. Équilibre nécessaire entre pouvoir et morale.",Films juridiques,Pensées - Repris dans films de tribunal,
Il n'y a pas de plus grande tyrannie que celle qui est perpétrée sous le bouclier de la loi.,,,Montesquieu,https://commons.wikimedia.org/wiki/File:Montesquieu_icon.svg,Avertissement de Montesquieu contre l'abus de pouvoir légal : Il n'y a pas de plus grande tyrannie que celle qui est perpétrée sous le bouclier de la loi et au nom de la justice.,Films politiques,De l'esprit des lois - Repris au cinéma,
"Le prix de la liberté, c'est la vigilance éternelle.",,Jefferson,Thomas,https://commons.wikimedia.org/wiki/File:Thomas_Jefferson_icon.svg,"Citation attribuée à Jefferson dans films patriotiques : Le prix de la liberté, c'est la vigilance éternelle. Rappel que la démocratie nécessite une surveillance constante.",Films politiques,Citation historique reprise au cinéma,
On peut juger de la grandeur d'une nation par la façon dont les animaux y sont traités.,,Gandhi,Mahatma,https://commons.wikimedia.org/wiki/File:Gandhi_icon.svg,Citation de Gandhi reprise dans films sur la compassion : On peut juger de la grandeur d'une nation par la façon dont les animaux y sont traités. Mesure de civilisation.,Films historiques,Citation de Gandhi reprise au cinéma,
Soyez le changement que vous voulez voir dans le monde.,,Gandhi,Mahatma,https://commons.wikimedia.org/wiki/File:Gandhi_icon.svg,La maxime inspirante de Gandhi : Soyez le changement que vous voulez voir dans le monde. Appel à l'action individuelle pour transformer la société.,1982,Gandhi (et nombreux autres films),
La vie trouve toujours un chemin.,,Malcolm,Ian,https://commons.wikimedia.org/wiki/File:Jurassic_Park_icon.svg,Le Dr Ian Malcolm met en garde contre l'arrogance humaine : La vie trouve toujours un chemin. La nature ne peut être contrôlée aussi facilement qu'on le croit.,1993,Jurassic Park,
Votre scientifiques étaient tellement préoccupés par la question de savoir s'ils le pouvaient qu'ils ne se sont pas demandé s'ils le devaient.,,Malcolm,Ian,https://commons.wikimedia.org/wiki/File:Jurassic_Park_icon.svg,Ian Malcolm critique l'hubris scientifique : Vos scientifiques étaient tellement préoccupés par la question de savoir s'ils le pouvaient qu'ils ne se sont pas demandé s'ils le devaient.,1993,Jurassic Park,
"Avec ou sans religion, les bonnes personnes peuvent se comporter bien et les mauvaises personnes peuvent faire le mal.",,Weinberg,Steven,https://commons.wikimedia.org/wiki/File:Science_icon.svg,"Citation du physicien Weinberg sur moralité et religion : Avec ou sans religion, les bonnes personnes peuvent se comporter bien et les mauvaises personnes peuvent faire le mal ; mais pour que les bonnes personnes fassent le mal, cela prend la religion.",Films scientifiques,Citation reprise dans documentaires,
"Nous choisissons d'aller sur la Lune non pas parce que c'est facile, mais parce que c'est difficile.",,Kennedy,John F.,https://commons.wikimedia.org/wiki/File:JFK_icon.svg,"Discours de JFK sur la conquête spatiale : Nous choisissons d'aller sur la Lune dans cette décennie, non pas parce que c'est facile, mais parce que c'est difficile.",Films spatiaux,Discours de 1962 repris au cinéma,
"Un petit pas pour l'homme, un bond de géant pour l'humanité.",,Armstrong,Neil,https://commons.wikimedia.org/wiki/File:Moon_landing_icon.svg,"Premiers mots de Neil Armstrong sur la Lune : Un petit pas pour l'homme, un bond de géant pour l'humanité. Moment historique devenu symbole du progrès.",Films spatiaux,1969 - Repris dans nombreux films,
Nous sommes la moyenne des cinq personnes que nous fréquentons le plus.,,Rohn,Jim,https://commons.wikimedia.org/wiki/File:Motivation_icon.svg,Citation de développement personnel reprise dans films : Nous sommes la moyenne des cinq personnes que nous fréquentons le plus. L'entourage façonne qui nous sommes.,Films motivationnels,Citation reprise dans divers films,
"Le succès n'est pas final, l'échec n'est pas fatal : c'est le courage de continuer qui compte.",,Churchill,Winston,https://commons.wikimedia.org/wiki/File:Winston_Churchill_icon.svg,"Churchill sur la persévérance : Le succès n'est pas final, l'échec n'est pas fatal : c'est le courage de continuer qui compte. Leçon de résilience en temps de guerre.",Films historiques,Citation de Churchill reprise au cinéma,
"Nous devons accepter la déception finie, mais ne jamais perdre l'espoir infini.",,King,Martin Luther,https://commons.wikimedia.org/wiki/File:MLK_icon.svg,"MLK sur l'espoir face à l'adversité : Nous devons accepter la déception finie, mais ne jamais perdre l'espoir infini. Message au cœur du mouvement des droits civiques.",Films historiques,Citation de MLK reprise au cinéma,
L'injustice quelque part est une menace pour la justice partout.,,King,Martin Luther,https://commons.wikimedia.org/wiki/File:MLK_icon.svg,Martin Luther King sur l'interconnexion de la justice : L'injustice quelque part est une menace pour la justice partout. Nous sommes pris dans un réseau de réciprocité inéluctable.,Films historiques,Lettre de la prison de Birmingham - Reprise au cinéma,
"Ne demandez pas ce que votre pays peut faire pour vous, demandez ce que vous pouvez faire pour votre pays.",,Kennedy,John F.,https://commons.wikimedia.org/wiki/File:JFK_icon.svg,"JFK dans son discours inaugural : Ne demandez pas ce que votre pays peut faire pour vous, demandez ce que vous pouvez faire pour votre pays. Appel au service civique.",Films historiques,Discours inaugural 1961 - Repris au cinéma,
